FileName	# Cities	NN Tour Cost	Optimal Cost	NN Time (ms)
-------------	-------------	--------------	-------------	-------------
a280		280		3558.226183	2579		79			
berlin52	52		8967.413418	7542		3
ch150		150		8172.365874	6542		22
eil51		51		574.267961	426		3
eil76		76		716.451982	538		6
kroA100		100		27306.383721	21282		10
kroC100		100		26313.630241	20749		10
pcb442		442		61849.424954	50778		214
pr1002		1002		316850.581015	259045		932
pr2392		2392		461307.494799	378032		6203
pr76		76		154268.000067	108159		6
