FileName		# Cities		2opt Tour Cost	Optimal Cost	2opt Time (ms)
-------------	-------------	--------------	-------------	-------------
a280			280				N/A				2579			N/A			
berlin52		52				29575.008920	7542			1655
ch150			150				54741.576882	6542			109516
eil51			51				1648.220707		426				1477
eil76			76				2377.850614		538				6794
kroA100			100				164922.184759	21282			20313
kroC100			100				166591.967972	20749			20073
pcb442			442				N/A				50778			N/A
pr1002			1002			N/A				259045			N/A
pr2392			2392			N/A				378032			N/A
pr76			76				150779.863123	108159			6741
